Model	SemType	LabelType	TrainingTrials	TimeStep	AreaAbs	Pattern3i	CAi_1	CAi_2	CAi_3	CAi_1_2	CAi_1_3	CAi_2_3	CAi_1_2_3	WFctrlCA	noCA
M07	con50	label	2000tt	1	1	P02	#179#189#536#415#564#348	#136#300#541#176#14#195	#114#244#332#292#6	#	#	#	#480#485#368#47#483#37#187	#	#
M07	con50	label	2000tt	2	1	P02	#179#189#536#415#564#348	#136#300#541#176#14#195	#114#244#332#292#6	#	#	#	#480#485#483#47#368#37#187	#	#
M07	con50	label	2000tt	3	1	P02	#564#536	#136#14	#292#6	#	#	#	#480#485#483#47	#	#
M07	con50	label	2000tt	4	1	P02	#564#536	#14	#	#	#	#	#480#485#483	#	#
M07	con50	label	2000tt	5	1	P02	#536#564	#14	#	#	#	#	#485#483	#	#
M07	con50	label	2000tt	6	1	P02	#564#536	#14	#	#	#	#	#485#483	#	#
M07	con50	label	2000tt	7	1	P02	#536#564	#	#	#	#	#	#485#483	#	#
M07	con50	label	2000tt	8	1	P02	#	#	#	#	#	#	#485#483	#	#
M07	con50	label	2000tt	9	1	P02	#	#	#	#	#	#	#483	#	#
M07	con50	label	2000tt	10	1	P02	#	#	#	#	#	#	#483	#	#
M07	con50	label	2000tt	11	1	P02	#	#	#	#	#	#	#	#	#
M07	con50	label	2000tt	12	1	P02	#	#	#	#	#	#	#	#	#
M07	con50	label	2000tt	13	1	P02	#	#	#	#	#	#	#	#	#
M07	con50	label	2000tt	14	1	P02	#	#	#	#	#	#	#	#	#
M07	con50	label	2000tt	15	1	P02	#	#	#	#	#	#	#	#	#
M07	con50	label	2000tt	16	1	P02	#	#	#	#	#	#	#	#	#
M07	con50	label	2000tt	17	1	P02	#	#	#	#	#	#	#	#	#
M07	con50	label	2000tt	18	1	P02	#	#	#	#	#	#	#	#	#
M07	con50	label	2000tt	19	1	P02	#	#	#	#	#	#	#	#	#
M07	con50	label	2000tt	20	1	P02	#	#	#	#	#	#	#	#	#
M07	con50	label	2000tt	21	1	P02	#	#	#	#	#	#	#	#	#
M07	con50	label	2000tt	22	1	P02	#	#	#	#	#	#	#	#	#
M07	con50	label	2000tt	23	1	P02	#	#	#	#	#	#	#	#	#
M07	con50	label	2000tt	24	1	P02	#	#	#	#	#	#	#	#	#
M07	con50	label	2000tt	25	1	P02	#	#	#	#	#	#	#	#	#
M07	con50	label	2000tt	26	1	P02	#	#	#	#	#	#	#	#	#
M07	con50	label	2000tt	27	1	P02	#	#	#	#	#	#	#	#	#
M07	con50	label	2000tt	28	1	P02	#	#	#	#	#	#	#	#	#
M07	con50	label	2000tt	29	1	P02	#	#	#	#	#	#	#	#	#
M07	con50	label	2000tt	30	1	P02	#	#	#	#	#	#	#	#	#
M07	con50	label	2000tt	1	2	P02	#	#	#	#	#	#	#	#	#
M07	con50	label	2000tt	2	2	P02	#85	#204#88#166	#179#216	#	#510	#	#439#432#356#170#239#42#308#566#31#437#561#428#459#287	#170	#39#532#69
M07	con50	label	2000tt	3	2	P02	#85	#204#88#166	#179#216	#	#510	#	#439#432#356#170#239#42#308#566#31#437#561#428#459#287	#170	#588#363#464#563#503#434#603#461#438#132#518
M07	con50	label	2000tt	4	2	P02	#	#	#	#	#510	#	#439#432#356#239#42#308#566#31#437#561#428#459	#	#
M07	con50	label	2000tt	5	2	P02	#	#	#	#	#510	#	#439#356#432#308#566#31#437#561#428#459	#	#532
M07	con50	label	2000tt	6	2	P02	#	#	#	#	#	#	#439#437#561#356#432#459	#	#
