Model	SemType	LabelType	TrainingTrials	TimeStep	AreaAbs	Pattern3i	CAi_1	CAi_2	CAi_3	CAi_1_2	CAi_1_3	CAi_2_3	CAi_1_2_3	WFctrlCA	noCA
M02	con50	label	2000tt	1	1	P10	#597#552#293#190#569	#441#154#287#46#524#515	#90#243#201#520#27#469	#	#	#	#505#193#236#109#408#76#277	#	#
M02	con50	label	2000tt	2	1	P10	#597#552#293#190#569	#441#154#287#46#524#515	#90#243#201#520#27#469	#	#	#	#505#193#236#109#408#76#277	#	#
M02	con50	label	2000tt	3	1	P10	#597#190#569	#287	#27#469	#	#	#	#505#193#109#76#277	#	#
M02	con50	label	2000tt	4	1	P10	#	#154	#	#	#	#	#505#109	#	#
M02	con50	label	2000tt	5	1	P10	#597	#	#	#	#	#	#109	#	#
M02	con50	label	2000tt	6	1	P10	#	#154	#	#	#	#	#109	#	#
M02	con50	label	2000tt	7	1	P10	#	#	#	#	#	#	#109	#	#
M02	con50	label	2000tt	8	1	P10	#	#287	#	#	#	#	#109	#	#
M02	con50	label	2000tt	9	1	P10	#	#	#	#	#	#	#	#	#
M02	con50	label	2000tt	10	1	P10	#	#	#	#	#	#	#	#	#
M02	con50	label	2000tt	11	1	P10	#	#	#	#	#	#	#	#	#
M02	con50	label	2000tt	12	1	P10	#	#	#	#	#	#	#	#	#
M02	con50	label	2000tt	13	1	P10	#	#	#	#	#	#	#	#	#
M02	con50	label	2000tt	14	1	P10	#	#	#	#	#	#	#	#	#
M02	con50	label	2000tt	15	1	P10	#	#	#	#	#	#	#	#	#
M02	con50	label	2000tt	16	1	P10	#	#	#	#	#	#	#	#	#
M02	con50	label	2000tt	17	1	P10	#	#	#	#	#	#	#	#	#
M02	con50	label	2000tt	18	1	P10	#	#	#	#	#	#	#	#	#
M02	con50	label	2000tt	19	1	P10	#	#	#	#	#	#	#	#	#
M02	con50	label	2000tt	20	1	P10	#	#	#	#	#	#	#	#	#
M02	con50	label	2000tt	21	1	P10	#	#	#	#	#	#	#	#	#
M02	con50	label	2000tt	22	1	P10	#	#	#	#	#	#	#	#	#
M02	con50	label	2000tt	23	1	P10	#	#	#	#	#	#	#	#	#
M02	con50	label	2000tt	24	1	P10	#	#	#	#	#	#	#	#	#
M02	con50	label	2000tt	25	1	P10	#	#	#	#	#	#	#	#	#
M02	con50	label	2000tt	26	1	P10	#	#	#	#	#	#	#	#	#
M02	con50	label	2000tt	27	1	P10	#	#	#	#	#	#	#	#	#
M02	con50	label	2000tt	28	1	P10	#	#	#	#	#	#	#	#	#
M02	con50	label	2000tt	29	1	P10	#	#	#	#	#	#	#	#	#
M02	con50	label	2000tt	30	1	P10	#	#	#	#	#	#	#	#	#
M02	con50	label	2000tt	1	2	P10	#	#	#	#	#	#	#	#	#
M02	con50	label	2000tt	2	2	P10	#70#568	#	#242#142	#	#35	#	#205#191#259#7#406#335#559#334#99#258	#35	#294#480#416
M02	con50	label	2000tt	3	2	P10	#70#568	#	#242#142	#307	#35	#	#205#191#259#7#406#335#559#334#99#258	#35#357	#331#122#288#572#422#133#239
M02	con50	label	2000tt	4	2	P10	#	#	#	#307	#35	#	#205#334#191#99#258#259#7#559	#35	#296#294
M02	con50	label	2000tt	5	2	P10	#	#	#	#307	#35	#	#205#334#191#99#258#259#7#559	#35	#
M02	con50	label	2000tt	6	2	P10	#	#	#	#307	#35	#	#258#191#7#559	#35	#
M02	con50	label	2000tt	7	2	P10	#	#	#	#	#	#	#191#7	#	#
M02	con50	label	2000tt	8	2	P10	#	#	#	#	#35	#	#191#7#559	#35	#
M02	con50	label	2000tt	9	2	P10	#	#	#	#	#	#	#7	#	#
M02	con50	label	2000tt	10	2	P10	#	#	#	#	#	#	#	#	#
M02	con50	label	2000tt	11	2	P10	#	#	#	#	#	#	#	#	#
M02	con50	label	2000tt	12	2	P10	#	#	#	#	#	#	#	#	#
M02	con50	label	2000tt	13	2	P10	#	#	#	#	#	#	#	#	#
M02	con50	label	2000tt	14	2	P10	#	#	#	#	#	#	#	#	#
M02	con50	label	2000tt	15	2	P10	#	#	#	#	#	#	#	#	#
M02	con50	label	2000tt	16	2	P10	#	#	#	#	#	#	#	#	#
M02	con50	label	2000tt	17	2	P10	#	#	#	#	#	#	#	#	#
M02	con50	label	2000tt	18	2	P10	#	#	#	#	#	#	#	#	#
M02	con50	label	2000tt	19	2	P10	#	#	#	#	#	#	#	#	#
M02	con50	label	2000tt	20	2	P10	#	#	#	#	#	#	#	#	#
M02	con50	label	2000tt	21	2	P10	#	#	#	#	#	#	#	#	#
M02	con50	label	2000tt	22	2	P10	#	#	#	#	#	#	#	#	#
M02	con50	label	2000tt	23	2	P10	#	#	#	#	#	#	#	#	#
M02	con50	label	2000tt	24	2	P10	#	#	#	#	#	#	#	#	#
M02	con50	label	2000tt	25	2	P10	#	#	#	#	#	#	#	#	#
M02	con50	label	2000tt	26	2	P10	#	#	#	#	#	#	#	#	#
M02	con50	label	2000tt	27	2	P10	#	#	#	#	#	#	#	#	#
M02	con50	label	2000tt	28	2	P10	#	#	#	#	#	#	#	#	#
M02	con50	label	2000tt	29	2	P10	#	#	#	#	#	#	#	#	#
M02	con50	label	2000tt	30	2	P10	#	#	#	#	#	#	#	#	#
