Model	SemType	LabelType	TrainingTrials	TimeStep	AreaAbs	Pattern3i	CAi_1	CAi_2	CAi_3	CAi_1_2	CAi_1_3	CAi_2_3	CAi_1_2_3	WFctrlCA	noCA
M12	con50	label	2000tt	1	1	P02	#179#189#536#415#564#348	#136#300#541#176#14#195	#114#244#332#483#6	#	#	#	#480#485#292#368#47#37#187	#	#
M12	con50	label	2000tt	2	1	P02	#179#189#536#415#564#348	#136#300#541#176#14#195	#114#244#332#483#6	#	#	#	#480#485#292#368#47#37#187	#	#
M12	con50	label	2000tt	3	1	P02	#415#564#348	#14#300	#244	#	#	#	#292	#	#
M12	con50	label	2000tt	4	1	P02	#564	#	#	#	#	#	#292	#	#
M12	con50	label	2000tt	5	1	P02	#415#564	#	#244	#	#	#	#292	#	#
M12	con50	label	2000tt	6	1	P02	#	#	#	#	#	#	#292	#	#
M12	con50	label	2000tt	7	1	P02	#	#	#	#	#	#	#	#	#
M12	con50	label	2000tt	8	1	P02	#	#	#	#	#	#	#	#	#
M12	con50	label	2000tt	9	1	P02	#	#541	#	#	#	#	#292	#	#
M12	con50	label	2000tt	10	1	P02	#	#541	#	#	#	#	#	#	#
M12	con50	label	2000tt	11	1	P02	#	#	#	#	#	#	#	#	#
M12	con50	label	2000tt	12	1	P02	#	#	#	#	#	#	#	#	#
M12	con50	label	2000tt	13	1	P02	#	#	#	#	#	#	#	#	#
M12	con50	label	2000tt	14	1	P02	#	#	#	#	#	#	#	#	#
M12	con50	label	2000tt	15	1	P02	#	#	#	#	#	#	#	#	#
M12	con50	label	2000tt	16	1	P02	#	#	#	#	#	#	#	#	#
M12	con50	label	2000tt	17	1	P02	#	#	#	#	#	#	#	#	#
M12	con50	label	2000tt	18	1	P02	#	#	#	#	#	#	#	#	#
M12	con50	label	2000tt	19	1	P02	#	#	#	#	#	#	#	#	#
M12	con50	label	2000tt	20	1	P02	#	#	#	#	#	#	#	#	#
M12	con50	label	2000tt	21	1	P02	#	#	#	#	#	#	#	#	#
M12	con50	label	2000tt	22	1	P02	#	#	#	#	#	#	#	#	#
M12	con50	label	2000tt	23	1	P02	#	#	#	#	#	#	#	#	#
M12	con50	label	2000tt	24	1	P02	#	#	#	#	#	#	#	#	#
M12	con50	label	2000tt	25	1	P02	#	#	#	#	#	#	#	#	#
M12	con50	label	2000tt	26	1	P02	#	#	#	#	#	#	#	#	#
M12	con50	label	2000tt	27	1	P02	#	#	#	#	#	#	#	#	#
M12	con50	label	2000tt	28	1	P02	#	#	#	#	#	#	#	#	#
M12	con50	label	2000tt	29	1	P02	#	#	#	#	#	#	#	#	#
M12	con50	label	2000tt	30	1	P02	#	#	#	#	#	#	#	#	#
M12	con50	label	2000tt	1	2	P02	#	#	#	#	#	#	#	#	#
