Model	SemType	LabelType	TrainingTrials	TimeStep	AreaAbs	Pattern3i	CAi_1	CAi_2	CAi_3	CAi_1_2	CAi_1_3	CAi_2_3	CAi_1_2_3	WFctrlCA	noCA
M02	con50	label	2000tt	1	1	P06	#448#4#297#462#78	#291#610#339#247#117#570	#589#617#525#344#168#548	#	#	#	#295#453#619#166#70#204#410	#	#
M02	con50	label	2000tt	2	1	P06	#448#4#297#462#78	#291#610#339#247#117#570	#589#617#525#344#168#548	#	#	#	#295#453#619#166#70#204#410	#	#
M02	con50	label	2000tt	3	1	P06	#448#4	#291#339#247#570	#617#525#168	#	#	#	#295#619#166#70#410	#	#
M02	con50	label	2000tt	4	1	P06	#	#291#339#570	#617#168	#	#	#	#70#619#166	#	#
M02	con50	label	2000tt	5	1	P06	#	#291#570	#617	#	#	#	#619#166#70#410	#	#
M02	con50	label	2000tt	6	1	P06	#	#570	#525#617	#	#	#	#70#619#166	#	#
M02	con50	label	2000tt	7	1	P06	#	#	#	#	#	#	#70#619#166	#	#
M02	con50	label	2000tt	8	1	P06	#	#291	#	#	#	#	#619#166	#	#
M02	con50	label	2000tt	9	1	P06	#	#570	#	#	#	#	#	#	#
M02	con50	label	2000tt	10	1	P06	#	#570	#	#	#	#	#	#	#
M02	con50	label	2000tt	11	1	P06	#	#	#	#	#	#	#	#	#
M02	con50	label	2000tt	12	1	P06	#	#	#	#	#	#	#	#	#
M02	con50	label	2000tt	13	1	P06	#	#	#	#	#	#	#	#	#
M02	con50	label	2000tt	14	1	P06	#	#	#	#	#	#	#	#	#
M02	con50	label	2000tt	15	1	P06	#	#	#	#	#	#	#	#	#
M02	con50	label	2000tt	16	1	P06	#	#	#	#	#	#	#	#	#
M02	con50	label	2000tt	17	1	P06	#	#	#	#	#	#	#	#	#
M02	con50	label	2000tt	18	1	P06	#	#	#	#	#	#	#	#	#
M02	con50	label	2000tt	19	1	P06	#	#	#	#	#	#	#	#	#
M02	con50	label	2000tt	20	1	P06	#	#	#	#	#	#	#	#	#
M02	con50	label	2000tt	21	1	P06	#	#	#	#	#	#	#	#	#
M02	con50	label	2000tt	22	1	P06	#	#	#	#	#	#	#	#	#
M02	con50	label	2000tt	23	1	P06	#	#	#	#	#	#	#	#	#
M02	con50	label	2000tt	24	1	P06	#	#	#	#	#	#	#	#	#
M02	con50	label	2000tt	25	1	P06	#	#	#	#	#	#	#	#	#
M02	con50	label	2000tt	26	1	P06	#	#	#	#	#	#	#	#	#
M02	con50	label	2000tt	27	1	P06	#	#	#	#	#	#	#	#	#
M02	con50	label	2000tt	28	1	P06	#	#	#	#	#	#	#	#	#
M02	con50	label	2000tt	29	1	P06	#	#	#	#	#	#	#	#	#
M02	con50	label	2000tt	30	1	P06	#	#	#	#	#	#	#	#	#
M02	con50	label	2000tt	1	2	P06	#	#	#	#	#	#	#	#	#
