Model	SemType	LabelType	TrainingTrials	TimeStep	AreaAbs	Pattern3i	CAi_1	CAi_2	CAi_3	CAi_1_2	CAi_1_3	CAi_2_3	CAi_1_2_3	WFctrlCA	noCA
M07	con50	label	2000tt	1	1	P10	#597#109#552#293#569	#441#154#287#46#524#515	#90#243#201#520#27#469	#	#	#	#505#190#193#236#408#76#277	#	#
M07	con50	label	2000tt	2	1	P10	#597#109#552#293#569	#441#154#287#46#524#515	#90#243#201#520#27#469	#	#	#	#505#190#193#236#408#76#277	#	#
M07	con50	label	2000tt	3	1	P10	#109#293	#441#287#524	#201#243#27	#	#	#	#236#408#190#193	#	#
M07	con50	label	2000tt	4	1	P10	#109	#	#	#	#	#	#190#236#193	#	#
M07	con50	label	2000tt	5	1	P10	#109	#	#	#	#	#	#190#193#236#408	#	#
M07	con50	label	2000tt	6	1	P10	#293	#	#	#	#	#	#190	#	#
M07	con50	label	2000tt	7	1	P10	#109	#	#	#	#	#	#190#236#193	#	#
M07	con50	label	2000tt	8	1	P10	#109	#	#	#	#	#	#236#190#193	#	#
M07	con50	label	2000tt	9	1	P10	#	#	#	#	#	#	#190	#	#
M07	con50	label	2000tt	10	1	P10	#	#	#	#	#	#	#190	#	#
M07	con50	label	2000tt	11	1	P10	#	#	#	#	#	#	#	#	#
M07	con50	label	2000tt	12	1	P10	#	#	#	#	#	#	#	#	#
M07	con50	label	2000tt	13	1	P10	#	#	#	#	#	#	#	#	#
M07	con50	label	2000tt	14	1	P10	#	#	#	#	#	#	#	#	#
M07	con50	label	2000tt	15	1	P10	#	#	#	#	#	#	#	#	#
M07	con50	label	2000tt	16	1	P10	#	#	#	#	#	#	#	#	#
M07	con50	label	2000tt	17	1	P10	#	#	#	#	#	#	#	#	#
M07	con50	label	2000tt	18	1	P10	#	#	#	#	#	#	#	#	#
M07	con50	label	2000tt	19	1	P10	#	#	#	#	#	#	#	#	#
M07	con50	label	2000tt	20	1	P10	#	#	#	#	#	#	#	#	#
M07	con50	label	2000tt	21	1	P10	#	#	#	#	#	#	#	#	#
M07	con50	label	2000tt	22	1	P10	#	#	#	#	#	#	#	#	#
M07	con50	label	2000tt	23	1	P10	#	#	#	#	#	#	#	#	#
M07	con50	label	2000tt	24	1	P10	#	#	#	#	#	#	#	#	#
M07	con50	label	2000tt	25	1	P10	#	#	#	#	#	#	#	#	#
M07	con50	label	2000tt	26	1	P10	#	#	#	#	#	#	#	#	#
M07	con50	label	2000tt	27	1	P10	#	#	#	#	#	#	#	#	#
M07	con50	label	2000tt	28	1	P10	#	#	#	#	#	#	#	#	#
M07	con50	label	2000tt	29	1	P10	#	#	#	#	#	#	#	#	#
M07	con50	label	2000tt	30	1	P10	#	#	#	#	#	#	#	#	#
M07	con50	label	2000tt	1	2	P10	#	#	#	#	#	#	#	#	#
M07	con50	label	2000tt	2	2	P10	#55#453#522#414#15	#501#301	#578#618#418#596#72	#333#92	#	#	#183#163#284#560#386#289#350#389#371#359	#	#431#467#9
M07	con50	label	2000tt	3	2	P10	#55#453#522#414#15	#501#301	#578#618#418#596#72	#333#92	#	#	#183#163#284#560#386#289#350#389#371#359	#	#559
M07	con50	label	2000tt	4	2	P10	#15	#	#	#	#	#	#183#163#284#386#289#359	#	#467
M07	con50	label	2000tt	5	2	P10	#55#15	#	#	#92	#	#	#163#284#386#289#389	#	#
M07	con50	label	2000tt	6	2	P10	#414#15	#	#	#92	#	#	#163#284#386#289#389	#	#
M07	con50	label	2000tt	7	2	P10	#	#	#	#	#	#	#163#284#386#289	#	#
M07	con50	label	2000tt	8	2	P10	#	#	#	#	#	#	#163#284#289	#	#
M07	con50	label	2000tt	9	2	P10	#	#	#	#	#	#	#386#163#289	#	#
M07	con50	label	2000tt	10	2	P10	#	#	#	#	#	#	#163	#	#
M07	con50	label	2000tt	11	2	P10	#	#	#	#	#	#	#163#289	#	#
M07	con50	label	2000tt	12	2	P10	#	#	#	#	#	#	#	#	#
M07	con50	label	2000tt	13	2	P10	#	#	#	#	#	#	#	#	#
M07	con50	label	2000tt	14	2	P10	#	#	#	#	#	#	#	#	#
M07	con50	label	2000tt	15	2	P10	#	#	#	#	#	#	#	#	#
